ΚΩΔ. ΚΕΝ,ΚΕΝ ΠΕΡΙΓΡΑΦΗ,ΜΔΝ από 1/3/2012,Κόστος από 1/3/2012,70% κάλυψη σε ιδιωτικά ιδρύματα
Α25Μ,συνυπάρχουσες παθήσεις - επιπλοκές Χρόνια αποφρακτική πνευμονοπάθεια χωρίς καταστροφικές (συστηματικές),9,"1.446,00 €","1.012,20 €"
Α25Χ,συνυπάρχουσες παθήσεις - επιπλοκές Μείζον τραύμα θώρακος με καταστροφικές (συστηματικές),5,"863,00 €","604,10 €"
Α26Μα,συνυπάρχουσες παθήσεις - επιπλοκές Μείζον τραύμα θώρακος με σοβαρές ή μέτριας βαρύτητας συνυπάρχουσες,12,"2.243,00 €","1.570,10 €"
Α26Μβ,παθήσεις – επιπλοκές Μείζον τραύμα θώρακος χωρίς,5,"1.068,00 €","747,60 €"
Α26Χ,συνυπάρχουσες παθήσεις - επιπλοκές Σημεία και συμπτώματα του αναπνευστικού με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,3,"552,00 €","386,40 €"
Α27Μ,παθήσεις - επιπλοκές Σημεία και συμπτώματα του αναπνευστικού χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,4,"785,00 €","549,50 €"
Α27Χ,παθήσεις - επιπλοκές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Πνευμοθώρακας με συνυπάρχουσες,2,"318,00 €","222,60 €"
Α28Μ,παθήσεις - επιπλοκές Πνευμοθώρακας χωρίς συνυπάρχουσες,6,"1.252,00 €","876,40 €"
Α28Χ,παθήσεις - επιπλοκές Βρογχίτιδα και άσθμα με συνυπάρχουσες,3,"566,00 €","396,20 €"
Α29Μ,παθήσεις - επιπλοκές Βρογχίτιδα και άσθμα χωρίς,4,"792,00 €","554,40 €"
Α29Χ,συνυπάρχουσες παθήσεις - επιπλοκές Υλακώδης βήχας και οξεία βρογχιολίτιδα,2,"361,00 €","252,70 €"
Α30Μ,με συνυπάρχουσες παθήσεις - επιπλοκές Υλακώδης βήχας και οξεία βρογχιολίτιδα χωρίς συνυπάρχουσες παθήσεις -,5,"1.210,00 €","847,00 €"
Α30Χ,επιπλοκές Νεοπλάσματα του αναπνευστικού με καταστροφικές (συστηματικές),2,"552,00 €","386,40 €"
Α31Μ,συνυπάρχουσες παθήσεις - επιπλοκές Νεοπλάσματα του αναπνευστικού χωρίς καταστροφικές (συστηματικές),9,"1.634,00 €","1.143,80 €"
Α31Χ,συνυπάρχουσες παθήσεις - επιπλοκές Αναπνευστικά προβλήματα αναδυόμενα,5,"828,00 €","579,60 €"
Α32Α,από τη νεογνική περίοδο Πλευριτική συλλογή με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις -,4,"769,00 €","538,30 €"
Α33Μα,επιπλοκές Πλευριτική συλλογή με σοβαρές ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις -,10,"1.839,00 €","1.287,30 €"
Α33Μβ,επιπλοκές Πλευριτική συλλογή χωρίς συνυπάρχουσες,5,"948,00 €","663,60 €"
Α33Χ,παθήσεις - επιπλοκές Διάμεση πνευμονοπάθεια με καταστροφικές (συστηματικές),3,"451,00 €","315,70 €"
Α34Μα,συνυπάρχουσες παθήσεις - επιπλοκές Διάμεση πνευμονοπάθεια με σοβαρές ή μέτριας βαρύτητας συνυπάρχουσες,10,"1.797,00 €","1.257,90 €"
Α34Μβ,παθήσεις – επιπλοκές Διάμεση πνευμονοπάθεια χωρίς,7,"1.266,00 €","886,20 €"
Α34Χ,συνυπάρχουσες παθήσεις - επιπλοκές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Άλλες παθήσεις του αναπνευστικού συστήματος με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις -,3,"580,00 €","406,00 €"
Α35Μα,επιπλοκές Άλλες παθήσεις του αναπνευστικού συστήματος με σοβαρές ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις –,8,"1.415,00 €","990,50 €"
Α35Μβ,επιπλοκές Άλλες παθήσεις του αναπνευστικού συστήματος χωρίς συνυπάρχουσες,5,"884,00 €","618,80 €"
Α35Χ,παθήσεις – επιπλοκές Φυματίωση του αναπνευστικού,2,"432,00 €","302,40 €"
Α36Α,"συστήματος Παθήσεις και διαταραχές του ΤΚΑ 05 κυκλοφορικού συστήματος (Κ) Εμφύτευση αυτόματου εμφυτεύσιμου καρδιακού απινιδωτή, ολοκληρωμένο σύστημα, με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις -",14,"1.800,00 €","1.260,00 €"
Κ01Μ,"επιπλοκές Εμφύτευση αυτόματου εμφυτεύσιμου καρδιακού απινιδωτή, ολοκληρωμένο σύστημα, χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις -",12,"12.500,00 €","8.750,00 €"
Κ01Χ,επιπλοκές Άλλες επεμβάσεις σχετιζόμενες με αυτόματο εμφυτεύσιμο καρδιακό,3,"11.291,00 €","7.903,70 €"
Κ02Α,απινιδωτή Επεμβάσεις καρδιακών βαλβίδων με χρήση εξωσωματικής κυκλοφορίας με επεμβατικό καρδιακό καθετηριασμό με καταστροφικές (συστηματικές),4,"1.897,00 €","1.327,90 €"
Κ03Μ,συνυπάρχουσες παθήσεις,23,"11.277,00 €","7.893,90 €"
Κ03Χ,Επεμβάσεις καρδιακών βαλβίδων με χρήση εξωσωματικής κυκλοφορίας με επεμβατικό καρδιακό καθετηριασμό χωρίς ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις Επεμβάσεις καρδιακών βαλβίδων με χρήση εξωσωματικής κυκλοφορίας χωρίς επεμβατικό καρδιακό καθετηριασμό με καταστροφικές (συστηματικές),13,"7.475,00 €","5.232,50 €"
Κ04Μ,συνυπάρχουσες παθήσεις Επεμβάσεις καρδιακών βαλβίδων με χρήση εξωσωματικής κυκλοφορίας χωρίς επεμβατικό καρδιακό καθετηριασμό χωρίς καταστροφικές (συστηματικές),14,"8.922,00 €","6.245,40 €"
Κ04Χ,συνυπάρχουσες παθήσεις Στεφανιαία παράκαμψη με επεμβατικό καρδιακό καθετηριασμό με επανεπέμβαση ή με καταστροφικές (συστηματικές),8,"5.828,00 €","4.079,60 €"
Κ05Μ,συνυπάρχουσες παθήσεις-επιπλοκές Στεφανιαία παράκαμψη με επεμβατικό καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-,18,"8.826,00 €","6.178,20 €"
Κ05Χ,επιπλοκές Στεφανιαία παράκαμψη χωρίς επεμβατικό καρδιακό καθετηριασμό με επανεπέμβαση ή με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις-,13,"6.495,00 €","4.546,50 €"
Κ06Μ,επιπλοκές Στεφανιαία παράκαμψη χωρίς επεμβατικό καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,10,"5.924,00 €","4.146,80 €"
Κ06Χ,παθήσεις-επιπλοκές Άλλες καρδιο-θωρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με χρήση εξωσωματικής κυκλοφορίας με καταστροφικές (συστηματικές),7,"4.276,00 €","2.993,20 €"
Κ07Μα,συνυπάρχουσες παθήσεις-επιπλοκές Άλλες καρδιο-θωρακοχειρουργικές,12,"8.818,00 €","6.172,60 €"
Κ07Μβ,/αγγειοχειρουργικές επεμβάσεις με χρήση ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα εξωσωματικής κυκλοφορίας με σοβαρές ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές Άλλες καρδιο-θωρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με χρήση εξωσωματικής κυκλοφορίας χωρίς,8,"6.061,00 €","4.242,70 €"
Κ07Χ,συνυπάρχουσες παθήσεις-επιπλοκές Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς χρήση εξωσωματικής κυκλοφορίας με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-,7,"4.758,00 €","3.330,60 €"
Κ08Μ,επιπλοκές Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς χρήση εξωσωματικής κυκλοφορίας χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-,16,"7.218,00 €","5.052,60 €"
Κ08Χ,επιπλοκές Άλλες καρδιοθωρακικές χειρουργικές επεμβάσεις χωρίς χρήση εξωσωματικής κυκλοφορίας με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-,7,"4.219,00 €","2.953,30 €"
Κ09Μα,επιπλοκές Άλλες καρδιοθωρακικές χειρουργικές επεμβάσεις χωρίς χρήση εξωσωματικής κυκλοφορίας με σοβαρές ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις-,10,"5.136,00 €","3.595,20 €"
Κ09Μβ,επιπλοκές Άλλες καρδιοθωρακικές χειρουργικές επεμβάσεις χωρίς χρήση εξωσωματικής κυκλοφορίας χωρίς συνυπάρχουσες,6,"3.167,00 €","2.216,90 €"
Κ09Χ,παθήσεις-επιπλοκές Διαδερμικές επεμβάσεις στεφανιαίων αγγείων με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-,4,"2.169,00 €","1.518,30 €"
Κ10Μ,επιπλοκές Διαδερμικές επεμβάσεις στεφανιαίων,8,"4.166,00 €","2.916,20 €"
Κ10Χ,"αγγείων με ΟΕΜ (οξύ έμφραγμα ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα μυοκαρδίου) χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις- επιπλοκές Ακρωτηριασμός λόγω παθήσεων του κυκλοφορικού, εξαιρουμένων των άνω άκρου και δακτύλων άκρου ποδός, με καταστροφικές (συστηματικές)",4,"2.724,00 €","1.906,80 €"
Κ11Μ,"συνυπάρχουσες παθήσεις-επιπλοκές Ακρωτηριασμός λόγω παθήσεων του κυκλοφορικού, εξαιρουμένων των άνω άκρου και δακτύλων άκρου ποδός, χωρίς καταστροφικές (συστηματικές)",27,"6.629,00 €","4.640,30 €"
Κ11Χ,"συνυπάρχουσες παθήσεις-επιπλοκές Εμφύτευση βηματοδότη, ολοκληρωμένο σύστημα, με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-",14,"2.930,00 €","2.051,00 €"
Κ12Μ,"επιπλοκές Εμφύτευση βηματοδότη, ολοκληρωμένο σύστημα, χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-",11,"3.280,00 €","2.296,00 €"
Κ12Χ,επιπλοκές Ακρωτηριασμός άνω άκρου και δακτύλων άκρου ποδός λόγω διαταραχών του κυκλοφορικού με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,4,"2.831,00 €","1.981,70 €"
Κ13Μ,παθήσεις-επιπλοκές Ακρωτηριασμός άνω άκρου ή δακτύλων άκρου ποδός λόγω παθήσεων του κυκλοφορικού χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,17,"3.608,00 €","2.525,60 €"
Κ13Χ,"παθήσεις-επιπλοκές Αγγειακές επεμβάσεις, εξαιρουμένων των μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία, με καταστροφικές (συστηματικές)",7,"1.139,00 €","797,30 €"
Κ14Μα,"συνυπάρχουσες παθήσεις-επιπλοκές Αγγειακές επεμβάσεις, εξαιρουμένων των",11,"3.245,00 €","2.271,50 €"
Κ14Μβ,"μειζόνων επανορθωτικών επεμβάσεων, ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα χωρίς εξωσωματική κυκλοφορία, με σοβαρές ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές Αγγειακές επεμβάσεις, εξαιρουμένων των μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία, χωρίς",4,"1.810,00 €","1.267,00 €"
Κ14Χ,συνυπάρχουσες παθήσεις-επιπλοκές Διαδερμικές επεμβάσεις στεφανιαίων αγγείων χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με εμφύτευση ενδοπρόθεσης (stent) με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις-,2,"1.125,00 €","787,50 €"
Κ15Μ,επιπλοκές Διαδερμικές επεμβάσεις στεφανιαίων αγγείων χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με εμφύτευση ενδοπρόθεσης (stent) χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,4,"1.945,00 €","1.361,50 €"
Κ15Χ,παθήσεις-επιπλοκές Διαδερμικές επεμβάσεις στεφανιαίων αγγείων χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς εμφύτευση ενδοπρόθεσης (stent) με συνυπάρχουσες,2,"1.761,00 €","1.232,70 €"
Κ16Μ,παθήσεις-επιπλοκές Διαδερμικές επεμβάσεις στεφανιαίων αγγείων χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς εμφύτευση ενδοπρόθεσης (stent) χωρίς,3,"1.392,00 €","974,40 €"
Κ16Χ,συνυπάρχουσες παθήσεις-επιπλοκές Αντικατάσταση βηματοδοτικής πηγής με καταστροφικές (συστηματικές) ή σοβαρές,2,"1.016,00 €","711,20 €"
Κ17Μ,συνυπάρχουσες παθήσεις-επιπλοκές Αντικατάσταση βηματοδοτικής πηγής χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις-,5,"2.629,00 €","1.840,30 €"
Κ17Χ,επιπλοκές Άλλες επεμβάσεις για βηματοδότη με,1,"2.227,00 €","1.558,90 €"
Κ18Μ,συνυπάρχουσες παθήσεις-επιπλοκές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Άλλες επεμβάσεις για βηματοδότη χωρίς,7,"2.023,00 €","1.416,10 €"
Κ18Χ,συνυπάρχουσες παθήσεις-επιπλοκές Διαδερμικές ενδοαγγειακές καρδιακές,2,"1.045,00 €","731,50 €"
Κ19Α,επεμβάσεις,3,"2.903,00 €","2.032,10 €"
Κ20Α,Απολίνωση και εκρίζωση φλέβας Άλλες χειρουργικές επεμβάσεις για παθήσεις του κυκλοφορικού με καταστροφικές (συστηματικές),1,"691,00 €","483,70 €"
Κ21Μ,συνυπάρχουσες παθήσεις-επιπλοκές Άλλες χειρουργικές επεμβάσεις για παθήσεις του κυκλοφορικού χωρίς καταστροφικές (συστηματικές),13,"2.187,00 €","1.530,90 €"
Κ21Χ,συνυπάρχουσες παθήσεις-επιπλοκές,4,"1.358,00 €","950,60 €"
Κ22Α,Αορτικά βαλβιδοφόρα μοσχεύματα Πάθηση του κυκλοφορικού με μηχανική υποστήριξη αναπνοής με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-,11,"7.048,00 €","4.933,60 €"
Κ30Μ,επιπλοκές Πάθηση του κυκλοφορικού με μηχανική υποστήριξη αναπνοής χωρίς καταστροφικές (συστηματικές),11,"5.401,00 €","3.780,70 €"
Κ30Χ,συνυπάρχουσες παθήσεις-επιπλοκές Διαταραχές του κυκλοφορικού με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με επεμβατικό καρδιακό καθετηριασμό με καταστροφικές (συστηματικές) ή σοβαρές,6,"3.649,00 €","2.554,30 €"
Κ31Μ,συνυπάρχουσες παθήσεις-επιπλοκές Διαταραχές του κυκλοφορικού με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με επεμβατικό καρδιακό καθετηριασμό χωρίς καταστροφικές (συστηματικές) ή σοβαρές,8,"1.853,00 €","1.297,10 €"
Κ31Χ,"συνυπάρχουσες παθήσεις-επιπλοκές Διαταραχές του κυκλοφορικού χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με επεμβατικό καρδιακό καθετηριασμό,",4,"1.078,00 €","754,60 €"
Κ32Α,ημερήσια νοσηλεία,1,"498,00 €","348,60 €"
Κ32Μ,Διαταραχές του κυκλοφορικού χωρίς ΟΕΜ ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα (οξύ έμφραγμα μυοκαρδίου) με επεμβατικό καρδιακό καθετηριασμό με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις-επιπλοκές Διαταραχές του κυκλοφορικού χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με επεμβατικό καρδιακό καθετηριασμό χωρίς καταστροφικές (συστηματικές) ή σοβαρές,8,"1.875,00 €","1.312,50 €"
Κ32Χ,συνυπάρχουσες παθήσεις-επιπλοκές Πάθηση του κυκλοφορικού με μη,3,"968,00 €","677,60 €"
Κ33Α,επεμβατικό αερισμό Φλεβική θρόμβωση με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,13,"1.851,00 €","1.295,70 €"
Κ33M,παθήσεις-επιπλοκές Φλεβική θρόμβωση χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,8,"1.337,00 €","935,90 €"
Κ33Χ,παθήσεις-επιπλοκές Δερματικά έλκη σε διαταραχές του κυκλοφορικού με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,5,"577,00 €","403,90 €"
Κ34Μ,παθήσεις-επιπλοκές Δερματικά έλκη σε διαταραχές του κυκλοφορικού χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,13,"2.030,00 €","1.421,00 €"
Κ34Χ,παθήσεις-επιπλοκές Περιφερική αγγειακή νόσος με καταστροφικές (συστηματικές) ή σοβαρές,5,"891,00 €","623,70 €"
Κ35Μ,συνυπάρχουσες παθήσεις-επιπλοκές Περιφερική αγγειακή νόσος χωρίς καταστροφικές (συστηματικές) ή σοβαρές,7,"1.365,00 €","955,50 €"
Κ35Χ,συνυπάρχουσες παθήσεις-επιπλοκές Αθηρωμάτωση στεφανιαίων αρτηριών με καταστροφικές (συστηματικές) ή σοβαρές,2,"474,00 €","331,80 €"
Κ36Μ,συνυπάρχουσες παθήσεις-επιπλοκές Αθηρωμάτωση στεφανιαίων αρτηριών χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις-,5,"865,00 €","605,50 €"
Κ36Χ,επιπλοκές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Αρτηριακή υπέρταση με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,2,"340,00 €","238,00 €"
Κ37Μ,παθήσεις-επιπλοκές Αρτηριακή υπέρταση χωρίς καταστροφικές (συστηματικές) ή σοβαρές,6,"1.089,00 €","762,30 €"
Κ37Χ,"συνυπάρχουσες παθήσεις-επιπλοκές Συγγενής καρδιοπάθεια με περίπλοκη θεραπεία πολυανθεκτικών παθογόνων μικροοργανισμών, ασθενειών και",2,"355,00 €","248,50 €"
Κ38Α,παθήσεων του κυκλοφορικού συστήματος Συγγενής καρδιοπάθεια με συνυπάρχουσες,4,"3.500,00 €","2.450,00 €"
Κ38Μ,παθήσεις-επιπλοκές Συγγενής καρδιοπάθεια χωρίς,4,"1.167,00 €","816,90 €"
Κ38Χ,συνυπάρχουσες παθήσεις-επιπλοκές Βαλβιδοπάθειες με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,1,"570,00 €","399,00 €"
Κ39Μ,παθήσεις-επιπλοκές Βαλβιδοπάθειες χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,6,"1.153,00 €","807,10 €"
Κ39Χ,"παθήσεις-επιπλοκές Διαταραχές του κυκλοφορικού με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς επεμβατικό καρδιακό καθετηριασμό, με καταστροφικές (συστηματικές)",2,"297,00 €","207,90 €"
Κ40Μ,"συνυπάρχουσες παθήσεις-επιπλοκές Διαταραχές του κυκλοφορικού με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς επεμβατικό καρδιακό καθετηριασμό, χωρίς καταστροφικές (συστηματικές)",10,"1.818,00 €","1.272,60 €"
Κ40Χ,συνυπάρχουσες παθήσεις-επιπλοκές Λοιμώδης ενδοκαρδίτιδα με καταστροφικές (συστηματικές),3,"722,00 €","505,40 €"
Κ41Μ,συνυπάρχουσες παθήσεις-επιπλοκές Λοιμώδης ενδοκαρδίτιδα χωρίς καταστροφικές (συστηματικές),22,"4.365,00 €","3.055,50 €"
Κ41Χ,συνυπάρχουσες παθήσεις-επιπλοκές,12,"2.179,00 €","1.525,30 €"
Κ42Μ,Καρδιακή ανεπάρκεια και καταπληξία με ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-επιπλοκές Καρδιακή ανεπάρκεια και καταπληξία χωρίς καταστροφικές (συστηματικές),10,"1.868,00 €","1.307,60 €"
Κ42Χ,συνυπάρχουσες παθήσεις-επιπλοκές Συγκοπή και collapsus με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,5,"849,00 €","594,30 €"
Κ43Μ,παθήσεις-επιπλοκές Συγκοπή και collapsus χωρίς καταστροφικές (συστηματικές) ή σοβαρές,8,"1.012,00 €","708,40 €"
Κ43Χ,συνυπάρχουσες παθήσεις-επιπλοκές,2,"361,00 €","252,70 €"
Κ44Α,Θωρακικό / προκάρδιο άλγος Άλλες παθήσεις του κυκλοφορικού με καταστροφικές (συστηματικές),1,"310,00 €","217,00 €"
Κ45Μα,συνυπάρχουσες παθήσεις-επιπλοκές Άλλες παθήσεις του κυκλοφορικού με σοβαρές ή μέτριας βαρύτητας,10,"2.207,00 €","1.544,90 €"
Κ45Μβ,συνυπάρχουσες παθήσεις-επιπλοκές Άλλες παθήσεις του κυκλοφορικού χωρίς,4,"927,00 €","648,90 €"
Κ45Χ,"συνυπάρχουσες παθήσεις-επιπλοκές Αρρυθμία, καρδιακή ανακοπή και διαταραχές αγωγιμότητας με καταστροφικές (συστηματικές) ή σοβαρές",2,"521,00 €","364,70 €"
Κ46Μ,"συνυπάρχουσες παθήσεις-επιπλοκές Αρρυθμία, καρδιακή ανακοπή και διαταραχές αγωγιμότητας χωρίς καταστροφικές (συστηματικές) ή σοβαρές",6,"1.245,00 €","871,50 €"
Κ46Χ,συνυπάρχουσες παθήσεις-επιπλοκές Ασταθής στηθάγχη με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,2,"444,00 €","310,80 €"
Κ47Μ,παθήσεις-επιπλοκές Ασταθής στηθάγχη χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,10,"940,00 €","658,00 €"
Κ47Χ,παθήσεις-επιπλοκές,5,"424,00 €","296,80 €"
Κ48Α,Απλή ηλεκτροφυσιολογική μελέτη Ηλεκτροφυσιολογική μελέτη και επέμβαση,2,"1.500,00 €","1.050,00 €"
Κ49Μα,κατάλυσης σε υπερκοιλιακές/κοιλιακές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα ταχυκαρδίες με σύστημα χαρτογράφησης και/ή εξειδικευμένους καθετήρες και κολπική διαφραγματοστομία Ηλεκτροφυσιολογική μελέτη και επέμβαση κατάλυσης σε υπερκοιλιακές/κοιλιακές ταχυκαρδίες με σύστημα χαρτογράφησης και/ή εξειδικευμένους καθετήρες χωρίς,3,"9.500,00 €","6.650,00 €"
Κ49Μβ,κολπική διαφραγματοστομία Απλή ηλεκτροφυσιολογική μελέτη και επέμβαση κατάλυσης σε υπερκοιλιακές/κοιλιακές ταχυκαρδίες με,3,"8.200,00 €","5.740,00 €"
Κ49Μγ,κολπική διαφραγματοστομία Απλή ηλεκτροφυσιολογική μελέτη και επέμβαση κατάλυσης σε υπερκοιλιακές/κοιλιακές ταχυκαρδίες χωρίς σύστημα χαρτογράφησης και χωρίς,3,"6.300,00 €","4.410,00 €"
Κ49Χ,κολπική διαφραγματοστομία Κατάλυση νευρικού πλέγματος νεφρικής,3,"4.700,00 €","3.290,00 €"
Κ50Α,αρτηρίας 5.000 € Εμφύτευση συσκευής συνεχούς ΗΚΓφικής καταγραφής τύπου κλειστής αγκύλης,4,"3.500,00 €",
Κ51Α,"(Insertable loop recorders) Εμφύτευση αμφικοιλιακού απινιδωτή, ολοκληρωμένο σύστημα, με καταστροφικές συνυπάρχουσες παθήσεις -",2,"2.500,00 €","1.750,00 €"
Κ52Μ,"επιπλοκές Εμφύτευση αμφικοιλιακού απινιδωτή, ολοκληρωμένο σύστημα, χωρίς καταστροφικές συνυπάρχουσες παθήσεις -",12,"15.000,00 €","10.500,00 €"
Κ52Χ,"επιπλοκές Αντικατάσταση αμφικοιλιακού απινιδωτή, ολοκληρωμένο σύστημα, με καταστροφικές συνυπάρχουσες παθήσεις -",3,"14.500,00 €","10.150,00 €"
Κ53Μ,"επιπλοκές Αντικατάσταση αμφικοιλιακού απινιδωτή, ολοκληρωμένο σύστημα, χωρίς καταστροφικές συνυπάρχουσες παθήσεις -",12,"13.500,00 €","9.450,00 €"
Κ53Χ,"επιπλοκές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Εμφύτευση αμφικοιλιακού βηματοδότη ολοκληρωμένο σύστημα, με καταστροφικές συνυπάρχουσες παθήσεις -",3,"12.500,00 €","8.750,00 €"
Κ54Μ,"επιπλοκές Εμφύτευση αμφικοιλιακού βηματοδότη ολοκληρωμένο σύστημα, χωρίς καταστροφικές συνυπάρχουσες παθήσεις -",12,"5.000,00 €","3.500,00 €"
Κ54Χ,"επιπλοκές Αντικατάσταση αμφικοιλιακού βηματοδότη, ολοκληρωμένο σύστημα, με καταστροφικές συνυπάρχουσες παθήσεις -",3,"4.500,00 €","3.150,00 €"
Κ55Μ,"επιπλοκές Αντικατάσταση αμφικοιλιακού βηματοδότη ολοκληρωμένο σύστημα, χωρίς καταστροφικές συνυπάρχουσες",12,"5.000,00 €","3.500,00 €"
Κ55Χ,παθήσεις - επιπλοκές Διακαθετηριακή τοποθέτηση καρδιακής βαλβίδας με καταστροφικές,3,"4.500,00 €","3.150,00 €"
